Project name,Alternate name,Country,River,Latitude,Longitude,Function,Status,COD Year,Installed capacity MW,Mean annual energy GW,Max. Irrigation Area km2,Height M,Crest length M,Total storage (FSL) Million m3,Max reservoir area km2,No. displaced People,Est. cost Mil. US$
Ang Traepeng Thmor,,CAM,Serei Sophorn,13.785695,103.299777,ID,COMM,1976-01-01T00:00:00Z,,,,,,,126.5,,
Battambang 1,,CAM,Sangker,12.804805,102.912094,MPD,UCON,2017-01-01T00:00:00Z,24,123.2,,49.5,"4,200",,,"4,350",
Battambang 2,,CAM,Sangker,12.432767,102.902467,MPD,PLAN,2019-01-01T00:00:00Z,36,187,,50,225,,,,
Battambang 3,,CAM,Sangker,12.508622,102.837496,HP,PLAN,,13,77,,,,,,,
Kamping Puoy,,CAM,Sangker,13.084158,102.969136,ID,COMM,1977-01-01T00:00:00Z,,,,,"1,900",110,,,
Lower Sesan 2,,CAM,Se San,13.551408,106.263841,HPD,UCON,2019-01-01T00:00:00Z,480,2311.8,,45,"7,729",1790,335,"4,809",781.52
Lower Sesan 3,,CAM,Se San,14.039264,106.936667,HPD,PLAN,,243,1977,,75,"4,320",,,,
Lower Sre Pok 3,,CAM,Sre Pok,13.388992,107.040426,HPD,PLAN,,204,1101.6,,50,"3,800",,,,
Lower Sre Pok 4,,CAM,Sre Pok,13.049033,107.454283,HPD,PLAN,,143,772.2,,70,"3,650",,,,
O Dar,,CAM,Prek Te,12.501061,106.133424,ID,COMM,,,,,,,,,,
Prek Chhlong 2,,CAM,Prek Chhlong,11.985742,106.224665,HPD,PLAN,,24,159,,,,,,,
Prek Liang 1,,CAM,Prek Liang,14.216561,107.250672,HPD,PLAN,,35,189,,90,300,,,,
Prek Liang 2,,CAM,Prek Liang,14.284495,107.257865,HPD,PLAN,,25,186,,90,250,,,,
Pursat 1,,CAM,Pursat,12.273867,103.2837,HPD,PLAN,,100,442.9,,51.5,545,,,234,
Pursat 2,,CAM,Pursat,12.284233,103.614867,HPD,PLAN,,10,42,,40,"1,100",,,,
Sambor,,CAM,Mekong,12.786849,105.938582,HPD,PLAN,2020-01-01T00:00:00Z,"2,600.00",11740,,56,"18,002",3.794,620,"19,034",
Stung Sen,,CAM,Stung Sen,13.302404,105.245516,HPD,PLAN,,23,124.2,,38,"2,700",,,,
Stung Treng,,CAM,Mekong,13.575317,105.98345,HPD,PLAN,,980,4870,,22,"10,884",70,211,"9,160",
Tom Nob Kob Srov,,CAM,Tonle Sap,11.633284,104.834023,ID,COMM,,,,,,,,,,
Upper Prek Te,,CAM,Prek Te,12.582548,106.54803,HPD,PLAN,,15,77,,,,,,,
Xekong,Sekong,CAM,Xekong,13.858842,106.270342,HPD,PLAN,,190,,,,,,,,
Unknown 82,,CAM,Prek Te,12.505114,106.263905,ID,COMM,,,,,,,,,,
Unknown 83,,CAM,Prek Te,12.477336,106.174822,ID,COMM,,,,,,,,,,
Angsai,,CHN,Zha Qu,32.466805,95.394246,HPD,PLAN,,55,268,,69,,,,,
Baita,,CHN,Mekong,28.980898,98.626669,HPD,PROP,,,,,,,,,,
Banda,,CHN,Zha Qu,30.2,97.93365,HPD,PLAN,,"1,000.00",5234,,210,612,938,,,"3,620"
Bangduo,,CHN,Mekong,29.469708,98.394729,HPD,PROP,,,,,,,,,,
Cege,,CHN,Zha Qu,30.985,97.339,HPD,PLAN,,129,636,,61,304,20.64,,,471.5
Chalongtong,,CHN,Tsichu,32.597734,96.564488,HPD,UCON,,10.5,,,,,,,,
Cibihu,,CHN,Mi Ci He,26.134408,99.956209,ID,COMM,1956-01-01T00:00:00Z,,,40,,,93.22,7.9,,
Charikou,,CHN,Tsichu,32.670005,96.561546,HPD,UCON,,50,,,121.4,198.48,421,,,
Dachaoshan,,CHN,Mekong,24.024947,100.3703,HPD,COMM,2003-01-01T00:00:00Z,"1,350.00",5500,,115,481,890,26.25,"6,100","1,349"
Dahuaqiao,,CHN,Mekong,26.308096,99.139288,HPD,UCON,2018-01-01T00:00:00Z,920,4070,,106,231.5,293,,"4,061",11.3
Dangqia,,CHN,Tsichu,32.534457,96.604084,HPD,UCON,,12,,,12,,,,,
Dong’erhe,,CHN,Luo Zha He,23.075179,101.057641,ID,COMM,1959-01-01T00:00:00Z,,,7,26.43,,1070,,,
Dongzhong,,CHN,Mekong,31.872777,96.99,HPD,PROP,,108,,,41.2,,,,,
ErChahe,,CHN,Nanqiao,24.437069,99.859167,HPD,COMM,2008-01-01T00:00:00Z,4.8,23.15,,46,127,10.92,,,
